id,comicsId
1004,35227
1004,40342
1004,45853
1004,35229
1004,46929
1004,50265
1004,50271
1004,40405
9653,21521
9653,21721
9653,21949
9653,22276
9653,22486
9653,22885
9653,23095
12208,23659
12208,24351
12208,56425
12208,61861
12208,43481
12208,49983
12208,45795
12208,48528
12208,50655
12208,50656
12208,51327
12208,51329
12208,51339
12208,39319
12208,15858
12208,15967
12208,16153
12208,16527
12208,16528
12208,17253
5413,16939
498,35521
498,39595
498,4461
498,65140
498,65141
498,65142
498,648
498,727
498,524
498,769
498,840
498,924
498,1448
498,1539
498,1634
498,1729
498,1836
498,2017
498,2018
498,1359
12590,60408
12590,60289
12590,60290
12590,60291
12590,60292
12590,60293
12590,53994
314,57813
314,58639
314,23279
314,23280
314,23281
314,23282
314,23254
314,57810
314,7346
314,7347
314,7348
314,7349
314,7350
314,90
314,50589
314,47634
314,21084
314,47352
314,39336
314,22821
3868,10146
3868,10158
3868,5637
3868,23890
3868,6156
1212,61929
1212,61930
1212,61931
1212,17509
1212,6955
1212,7042
1212,6942
1212,4461
1212,7485
1212,7486
1212,8004
1212,8006
1212,8007
1212,8008
1212,8009
1212,8010
1212,8065
1212,8066
1212,8067
1212,4297
3811,51464
3811,20619
3811,10059
3811,10060
3811,10091
3811,10092
3811,10093
3811,10094
3811,55144
3811,73230
3811,10538
3811,70422
12938,56128
12938,69110
12344,47601
12344,5393
13465,69471
4256,10696
4256,10655
2113,6802
2113,16903
2529,37894
2529,37895
2529,37896
2529,37899
2529,37902
2529,37988
2529,43455
2529,48428
2529,6859
2529,6862
2529,12578
2529,1040
2529,7432
2529,15609
2529,15620
2529,15631
2529,15642
2529,15664
2529,15675
2529,15686
8824,21974
8824,46426
4627,356
4627,388
4627,404
4627,471
4627,498
4627,682
4627,1812
4627,571
4627,556
4627,811
4627,3939
4627,1328
4627,1550
4627,21197
4627,21345
4627,21525
4627,21725
4627,21953
4627,33044
4627,32680
8766,30825
8766,24058
8766,24259
8766,25161
8766,25162
8766,25180
8766,25181
8766,32814
8766,25212
8766,26790
13081,71372
13081,63431
13081,63166
13081,63662
13081,64278
13081,64607
13081,64884
13081,65058
13081,65267
13081,65436
13081,66268
13081,66533
13081,66898
13081,67314
13081,66769
13081,66911
13081,67337
13081,68356
13081,68358
13081,68360
12387,62399
12387,53690
4796,66895
4796,66896
4796,18898
4796,55130
4796,15226
4796,15227
4796,15228
4796,15229
4796,15231
4796,65135
4796,65958
750,41112
750,41113
750,36162
750,36365
750,36160
750,36599
750,21953
750,38619
750,24660
750,28763
750,4755
750,21927
750,23566
750,24757
750,29819
750,62131
750,41336
750,22455
750,34286
750,24786
3389,12669
3389,12672
3389,47727
3389,2332
3389,19872
3389,66895
3389,66896
3389,10175
3389,10178
3389,10179
3389,10180
3389,10181
3389,19808
3389,15517
3389,71983
3389,71986
3389,11954
3389,11955
3389,11956
3389,11957
4659,14545
9378,27902
9378,26500
9378,25672
9378,23953
9378,23694
9378,26572
9378,21527
9378,21956
9378,22490
9378,22889
9378,24154
9378,25892
9378,25894
9378,25885
9378,23669
8542,39257
8542,67917
8542,67919
8542,67921
8542,67922
8542,67923
8542,67924
8542,65464
8542,21636
8542,62679
8542,36411
8542,43911
8542,45008
8542,46168
8542,46170
8542,46172
8542,62188
8542,65296
8542,65923
8542,63191
4982,15866
4982,16641
1452,7863
1452,7866
1452,7867
1452,7868
1452,7869
1452,7870
1452,7872
1452,7873
1452,7874
1452,7876
1452,7877
1452,7879
1452,7880
1452,7881
1452,7883
1452,7884
1452,7885
1452,7886
1452,7887
1452,7888
4239,12618
4239,8700
4239,14790
4239,74447
4239,34258
4239,15157
4239,18331
4239,12137
4239,12148
4239,17482
1865,12669
1865,6585
1865,6600
1865,6601
1865,6630
1865,6631
1865,6633
1865,6637
1865,6641
1865,6647
1865,16891
