id,seriesId
4080,2296
4080,3633
4080,23797
7588,5860
4774,2288
5354,2982
4251,2115
4251,100
4976,474
6137,3648
2830,3621
2830,1996
2937,2021
4849,2300
6991,3743
4123,2005
2669,2083
2719,1988
11901,19344
11901,19253
11901,19134
11901,20622
11901,22692
11901,20602
11901,22106
11901,22729
11901,16875
11901,17303
11901,17304
11901,18344
11901,24444
11901,18341
11901,18342
11901,18343
11901,25717
11901,19086
11901,19333
11901,19336
10669,421
10669,6796
10669,13936
11463,16450
11463,17271
11463,20359
11463,20360
11463,20361
11463,18142
11463,18128
11463,6664
11463,9792
11463,11110
11463,24229
11463,24429
11463,26137
11463,9181
11463,15305
11463,17316
11463,16230
11463,16229
11463,9414
11463,15333
6694,672
6694,13383
6694,454
6694,354
6694,1496
6694,1737
6694,2115
6694,99
6694,1994
6694,2272
6694,5
6694,485
6694,449
6694,12
6694,1170
6694,181
6694,20
6694,21
6694,22
6694,377
1186,2982
1186,1991
1186,1988
1186,94
1186,1493
1186,1207
1186,1996
1186,2000
1186,2002
1186,1213
1186,19133
1186,3743
1186,1314
1186,20998
1186,2013
1186,24261
1186,2021
1186,2983
1186,2029
1186,3723
4540,20115
4540,20134
4540,25631
1107,18285
1107,3061
1107,19274
1107,24256
1107,13025
1107,15433
1107,14818
1107,14811
1107,19301
1107,19312
1107,12973
1107,23754
1107,1995
1107,20814
1107,21693
1107,20537
1107,3741
1107,16139
1107,421
1107,14562
2278,1991
2278,24084
2278,2011
2278,2039
2278,2301
2278,8852
2278,23385
11482,20682
11482,13907
11482,22545
11482,22733
11482,22547
11482,14985
11482,22386
11482,23277
11482,26007
11482,24137
11482,9898
11482,3374
11482,24315
11482,22928
11482,23771
11482,1112
11482,23079
11482,19242
11482,22656
11482,11272
9222,947
12839,20613
12839,16542
12839,18399
12839,23264
12839,23913
12839,21488
12839,21472
12839,18348
12839,26161
12839,23910
12839,23773
12839,17154
12839,18473
12839,17625
12839,17624
12389,18467
12389,19590
12389,18887
12389,19004
3374,1721
3374,17375
3374,3723
3374,25063
3374,2046
3374,3716
3374,23105
11791,15166
11791,14416
11791,16246
10059,8606
10059,8610
2526,2002
1004,7534
1004,21095
1004,9085
1004,16452
1004,22547
1004,23600
1004,21284
1004,17316
1004,9414
