id,storiesId
2494,29215
4149,24589
2656,15050
2656,17131
2656,66263
2656,67058
4779,30733
4779,30735
4404,26214
6946,43390
5235,33950
2378,15324
7589,49667
5785,37692
3372,20995
3755,22936
1525,9938
1525,9943
1525,27301
1525,27306
3485,21715
3485,21748
3485,92414
3990,24145
3990,24146
4155,24598
4155,24826
4155,24969
4155,24971
4155,24975
4155,24978
4155,24979
4155,24982
4155,24986
4155,24990
4155,24991
4155,24999
4155,25002
4155,25005
4155,25006
2788,17779
2788,17781
2788,17783
2788,17784
2788,17785
2788,17789
12882,131023
12882,132161
12882,134041
12882,141344
12882,144843
12882,146350
12882,155219
12882,155221
2331,15112
2331,49643
2331,49670
13288,144092
12692,21381
12692,21585
12692,21587
12692,38162
12692,38245
3582,22107
5775,37679
4054,24311
6541,41961
3869,23488
11403,14292
11403,14296
11403,14297
11403,14298
11403,14299
11403,14300
11403,14309
11403,66278
11403,66300
11403,66301
11403,66302
11403,66303
11403,66936
11403,83385
11403,113148
11403,113149
11403,113150
11403,113151
11403,113161
11403,113163
11404,83388
3028,19365
3028,19506
3028,19507
3028,19508
3028,19509
3028,19510
3028,19511
3028,19514
3028,19515
3028,19516
3028,19517
3028,19518
3028,19519
3028,19520
3028,19521
3028,19522
13188,139041
13188,139067
13188,139093
13188,139171
13188,139973
13188,139975
13135,139039
13135,139065
13135,139143
13135,139169
2478,16073
2478,16074
4610,29082
4610,29110
6609,42311
3538,21999
3538,22003
2686,17338
9988,60764
9988,60766
3608,22193
3672,22615
3672,24598
3672,24826
3672,24969
3672,24971
3672,24975
3672,24978
3672,24979
3672,24982
3672,24986
3672,24990
3672,24991
3672,24999
3672,25002
3672,25005
3672,25006
3672,25008
3672,25011
3672,25013
3672,25016
6721,32147
6721,32236
6721,42693
6721,66418
6721,66419
4138,24575
4138,24577
4138,24581
4138,24582
634,2803
12826,122693
12826,122695
12826,128056
12826,130671
12826,143757
12826,158922
12826,165369
12826,165373
12826,165375
12826,165377
12826,165379
12826,165381
12826,165383
12826,165385
12826,165387
12826,165389
12826,165391
12826,165393
12826,165395
12826,165397
5983,38751
5983,38752
7830,52130
7830,52138
4754,30460
4136,24573
4136,24575
4136,28623
12401,3802
12401,3908
12401,3912
12401,3914
12401,3916
12401,3918
12401,3920
12401,3922
12401,5150
12401,5282
12401,44385
12401,44731
12401,45742
12401,49246
12401,56113
12401,56121
12401,57385
12401,94329
12401,111992
12401,113684
13244,140422
13244,140424
13244,140426
13244,140428
3050,19564
3050,22523
3050,38253
3346,20864
3346,67128
4165,24709
4165,25717
4165,25719
4165,27864
4165,28499
4165,28501
4165,43827
4165,44510
4165,44525
2929,18736
3540,22005
2632,17066
2632,23969
2922,16904
2922,18719
2922,18723
12967,123159
12967,134859
12967,136539
2926,18731
2926,18735
2926,18737
2926,18741
2926,18745
2926,18751
2926,18753
2926,18755
2926,18757
2926,18759
2926,18761
2926,18763
2926,18765
2926,18767
2926,18771
2926,18775
4557,28691
12439,111345
12439,111481
12439,111483
12439,112534
2148,14516
2148,17780
2148,42865
5991,38813
5991,38816
5991,38819
5991,38822
3029,19378
3029,19387
4958,31965
7584,49643
7584,49645
11401,593
11401,5699
11401,5701
11401,5703
11401,8377
11401,8378
11401,11076
11401,11083
11401,11097
11401,11104
11401,11111
11401,11120
11401,11125
11401,11132
11401,11142
11401,11146
11401,11153
11401,11163
11401,11175
11401,11184
6445,41626
2657,17134
4080,24380
4080,24382
4080,25034
4080,25035
4080,25036
4080,25039
4080,25041
4080,25042
4080,25044
4080,25045
4080,25048
4080,25050
4080,25051
4080,25052
4080,25054
4080,25056
4080,25057
4080,25068
4080,31143
4080,31144
7588,49666
7588,49668
7588,49670
7588,49672
4774,30676
5354,35254
4251,25124
4976,32197
6137,39196
2830,18204
2830,37701
2937,18768
2937,18769
2937,18770
4849,31516
4849,31517
4849,31518
4849,31520
4849,31521
4849,31522
4849,31523
4849,31524
4849,31525
6991,43467
4123,24531
4123,24534
4123,24575
2669,17247
2719,17411
2719,37744
11901,89391
11901,89392
11901,94398
11901,100700
11901,100709
11901,100710
11901,100714
11901,100878
11901,100888
11901,100890
11901,100894
11901,100898
11901,103229
11901,103231
11901,103233
11901,103235
11901,103236
11901,103237
11901,103239
11901,103241
10669,69185
10669,75551
10669,75557
10669,79794
10669,79796
10669,79798
10669,79800
10669,79802
10669,79808
10669,79810
10669,79812
10669,79814
10669,79816
10669,81279
10669,81281
10669,81283
10669,81285
10669,82798
10669,91775
10669,96297
11463,28736
11463,32907
11463,44267
11463,44268
11463,44313
11463,44616
11463,44617
11463,44669
11463,45273
11463,45274
11463,45493
11463,46034
11463,46786
11463,46787
11463,46844
11463,47152
11463,47237
11463,47434
11463,47471
11463,47740
6694,487
6694,533
6694,534
6694,535
6694,537
6694,538
6694,539
6694,25102
6694,25371
6694,25372
6694,25373
6694,25374
6694,25375
6694,25376
6694,25394
6694,25396
6694,25398
6694,25419
6694,25424
6694,25459
1186,6599
1186,11938
1186,14654
1186,14655
1186,14656
1186,14657
1186,14708
1186,14721
1186,14722
1186,16458
1186,16462
1186,16945
1186,17379
1186,17453
1186,17729
1186,17804
1186,17848
1186,18280
1186,18318
1186,18481
4540,119159
4540,119296
4540,119300
4540,156187
1107,19617
1107,19631
1107,19633
1107,19635
1107,23127
1107,23139
1107,23144
1107,23145
1107,23150
1107,23151
1107,23989
1107,24350
1107,32619
1107,33003
1107,33340
1107,33342
1107,36167
1107,36194
1107,36458
1107,36494
2278,14987
2278,14988
2278,22627
2278,22708
2278,31628
2278,68704
2278,68705
2278,139271
2278,141085
2278,141086
2278,144123
11482,45508
11482,46847
11482,47474
