id,collectedIssuesId
23030,12146
23030,12145
23030,12144
23030,12142
23030,12141
23030,12140
17472,6193
17472,5956
17472,6039
17472,5797
17472,5892
17472,5658
17472,5481
17472,5532
23037,18311
23037,18342
23037,11711
23021,7331
23021,7330
23021,7329
23021,7328
23021,7327
23021,7326
23021,7325
23021,7324
22606,18311
22606,18342
22606,11711
23020,7331
23020,7330
23020,7329
23020,7328
23020,7327
23020,7326
23020,7325
23020,7324
22601,18311
22601,18342
22601,11711
23032,18311
23032,18342
23032,11711
23057,23314
23057,23313
23060,23314
23060,23313
22609,12560
22609,12559
22609,12558
22609,12557
22609,12556
22609,12574
22608,12560
22608,12559
22608,12558
22608,12557
22608,12556
22608,12574
22600,23318
22600,23317
22600,23316
22600,23315
22617,9361
22617,9350
22617,9339
22617,9328
22617,9648
22617,9637
22617,9626
22617,9615
22617,9604
22617,9593
22617,9549
22617,9438
22612,10621
22612,10619
22612,10618
22612,10617
22612,10616
22607,18244
22607,18239
22607,18238
22607,18237
22607,18236
22397,21520
22397,21340
22397,21189
22397,20981
22397,20847
22397,20654
22395,17575
22395,17595
22395,17615
22395,17576
22395,17334
22395,17356
22395,21915
22395,17336
22395,17205
22395,17223
22395,17241
22395,17206
22395,16600
22435,11855
22435,23305
22435,11854
22435,11852
22435,11851
22435,23304
22435,11850
22435,11849
22435,11848
22435,23303
22435,11847
22435,11846
22435,11845
22435,11844
22435,23299
22435,11843
22435,11841
22435,11840
22435,11839
22435,11838
22409,9673
22409,9786
22409,9775
22409,9764
22409,9753
22409,9742
22409,9731
22409,9720
22409,9709
22420,12136
22420,9059
22420,9058
22420,9057
22420,9018
22420,9017
22420,9016
22420,9014
22420,9013
22420,8967
22420,8959
22420,8951
22422,22247
22422,22246
22422,22245
22422,22244
22422,22243
22408,9673
22408,9786
22408,9775
22408,9764
22408,9753
22408,9742
22408,9731
22408,9720
22408,9709
22410,21709
22410,21507
22410,21326
22410,21177
1049,8545
1049,8544
1049,8543
1049,8542
1049,8541
1049,8540
22417,8972
22417,23253
22417,23252
22417,23251
22417,23250
22417,23249
22417,23248
22417,8961
22417,23246
22426,9522
22426,9521
22426,9520
22426,9519
22426,9518
22433,23284
22433,22814
22433,22813
22433,22812
22433,23363
22433,10263
22400,21543
22400,21363
22400,21223
22400,21059
22400,20876
22092,10007
22092,10006
22092,10005
22092,10004
22092,10003
22092,10002
22093,10007
22093,10006
22093,10005
22093,10004
22093,10003
22093,10002
22061,20842
22061,20647
22061,17599
22061,17600
22061,17359
22061,17227
22061,16476
22079,12912
22079,12911
22079,12910
22079,12907
22079,12905
22079,12904
22079,12903
22078,12912
22078,12911
22078,12910
22078,12907
22078,12905
22078,12904
22078,12903
2414,2839
2414,2077
2414,1972
22085,22802
22085,22800
22085,22799
22085,22798
22085,22797
22085,22796
22085,22795
22085,22794
21829,13168
21829,13167
21829,13166
21829,13165
21829,13164
21813,7289
21813,18187
21813,11830
21813,14043
21813,13877
21813,9256
21813,7410
21813,9586
21813,18025
21813,14345
21804,16717
21804,16716
21804,16715
21823,21014
21823,20882
21823,20684
21823,17643
21805,16717
21805,16716
21805,16715
21828,22239
21828,22228
21828,22217
21828,22206
21828,22195
21828,22184
21828,22173
21818,21176
21818,20966
21818,20829
21818,20637
21818,17584
21802,16519
21802,15965
21802,15855
21802,13477
21802,6301
21802,21871
21802,6097
21811,21220
21811,21006
21811,20872
21811,20677
21625,20370
21625,20359
21625,20348
21625,20337
21625,20326
21625,23324
21625,23323
21625,23319
21625,17090
21625,17089
21604,17363
21604,17229
21604,16481
21604,16479
21604,16128
21604,15943
21618,16441
21618,16443
21618,16440
21618,16467
21618,16504
21618,16442
21618,16101
21618,16120
21618,16142
21618,16102
21618,15920
21618,15937
21618,15958
21618,15921
21618,15800
21618,15874
21449,21650
21449,21649
21449,21648
21449,21647
21449,21646
20748,21134
20748,21133
20748,21120
20748,21119
20748,21117
20748,21116
20748,21115
20748,21114
20748,21113
20748,21112
20748,21111
20748,21110
20748,21109
20748,21108
20748,21106
20748,21105
20748,21135
20748,21124
20748,21123
20748,21122
20740,21134
20740,21133
20740,21120
20740,21119
20740,21117
20740,21116
20740,21115
20740,21114
20740,21113
20740,21112
20740,21111
20740,21110
20740,21109
20740,21108
20740,21106
20740,21105
20740,21135
20740,21124
20740,21123
20740,21122
21448,21650
21448,21649
21448,21648
21448,21647
21448,21646
21606,7922
21606,7915
21606,7904
21608,20967
21608,20830
21608,20638
21608,17585
21608,17344
21631,19982
21631,19981
21631,19979
21631,19978
21631,19977
21631,19976
21631,19975
21631,19974
21631,19973
21631,19972
21631,19971
21631,19970
21629,13112
21636,17953
21636,17952
21636,17951
21636,17950
21636,17949
21636,17947
21636,17946
21442,11260
21442,11258
21442,11257
21442,11256
21442,11255
21442,11254
21442,11253
21442,11252
21442,11251
21442,11250
21443,11260
21443,11258
21443,11257
21443,11256
21443,11255
21443,11254
21443,11253
21443,11252
21443,11251
21443,11250
21432,20689
21432,17647
21432,17675
21440,10680
21440,23467
21440,10679
21440,10678
21440,10677
21440,10675
21440,10674
21440,10673
21440,10672
21440,10671
21440,10670
21422,17353
21422,16119
21422,6309
21422,6120
21422,5674
21422,5417
21422,2370
21441,10680
21441,23467
21441,10679
21441,10678
21441,10677
21441,10675
21441,10674
21441,10673
21441,10672
21441,10671
21441,10670
21421,5894
21421,5523
21421,5226
21421,5073
21421,4785
21421,4466
21421,4311
21426,20680
21426,17640
21426,17399
21426,16547
21424,16475
21424,16125
21424,15941
21424,15824
21424,6152
21424,6010
21430,12311
21430,12310
21430,12309
21430,12308
21430,23516
21430,12307
21430,12306
21315,9111
21308,8615
21308,8614
21308,8613
21308,8612
21308,8611
21308,8609
21295,6833
21295,10836
21295,23391
21295,18186
21295,14042
21295,18024
21295,8564
21295,12203
21295,6512
3174,2544
3174,2835
3174,2372
3174,2271
21302,11490
21302,11489
21302,11488
21302,11487
21302,11486
21292,9129
21292,9128
21292,9127
21292,9126
21292,16871
21301,11490
21301,11489
21301,11488
21301,11487
21301,11486
21283,17254
21283,15968
21283,13481
21283,5864
21283,5723
21287,16560
21287,16559
21287,16558
21287,16557
21287,16169
21287,16168
21287,15984
21287,15983
21287,15872
21287,21912
21287,15873
21289,20682
21289,17641
21052,21644
21052,21643
21052,21642
21052,21641
20940,15943
21063,21644
21063,21643
21063,21642
21063,21641
21082,8462
21082,8460
21082,8459
21082,8458
21082,8457
21082,8456
21082,8455
21082,8454
21082,8453
21057,17637
21065,17649
21072,8022
21072,8021
21072,8020
21072,8019
21072,8018
21072,8017
21072,8016
21072,8015
21072,8014
21072,9610
21072,8013
21072,8012
21072,8011
21081,10361
21081,10360
21081,10359
21081,10358
21081,10356
21081,10354
21081,10353
21081,10335
21085,37400
21085,20837
21085,20646
21085,17247
21085,17293
21085,17254
21085,15938
21085,15819
21085,5723
20934,11361
20934,11359
20934,11358
20934,11357
20934,11356
20934,11355
20934,11354
20934,11353
20934,11352
20932,9382
20935,11361
20935,11359
20935,11358
20935,11357
20935,11356
20935,11355
20935,11354
20935,11353
20935,11352
20935,11351
20927,6116
20937,7505
20937,7504
20937,7503
20937,7502
20937,7501
20937,7500
20937,7499
20937,7498
20937,7497
20937,7496
20937,7495
20936,7505
20936,7504
20936,7503
20936,7502
20936,7501
20936,7500
20936,7499
20936,7498
20936,7497
20936,7496
20936,7495
20924,15871
20938,16146
20923,15981
20918,13484
20913,14089
20913,14391
20913,13918
20913,7455
20913,14390
20913,13917
20913,18231
20913,14087
20913,7452
20946,7415
20946,7404
20946,7393
20946,7374
20946,23286
20946,23285
20946,10429
17314,6036
17314,5887
17314,5746
17314,15789
17314,18893
17314,18894
20724,16152
20726,8860
20726,23356
20726,8859
20726,23355
20726,22639
